Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,TT,BMag,l_SFRa,SFRa,l_Pa,Pa,l_Fa,Fa,l_SFRu,SFRu,l_Pu,Pu,l_Fu,Fu
UGC12894,0,0,22.5,+,39,29,44,10,-13.31,,-2.48,,0.08,,0.53,,-2.03,,0.53,,0.08
WLM,0,1,58.1,-,15,27,40,9,-14.06,,-2.69,,-0.24,,0.65,,-2.24,,0.21,,0.20
And XVIII,0,2,14.5,+,45,5,20,-3,-9.11,,0.00,,0.00,,0.00,<,-5.81,<,-2.27,,0.00
ESO409-015,0,5,31.8,-,28,5,53,9,-14.35,,-1.57,,0.57,,-0.31,,-1.82,,0.32,,-0.06
AGC748778,0,6,34.4,+,15,30,39,10,-10.04,,0.00,,0.00,,0.00,,-3.65,,0.22,,0.29
And XX,0,7,30.7,+,35,7,56,-3,-5.77,,0.00,,0.00,,0.00,,-5.96,,-1.08,,0.00
UGC00064,0,7,44.0,+,40,52,32,10,-14.75,,0.00,,0.00,,0.00,,-1.63,,0.35,,0.34
ESO349-031,0,8,13.3,-,34,34,42,10,-11.87,,-4.03,,-1.01,,1.29,,-3.02,,0.00,,0.28
NGC0024,0,9,56.4,-,24,57,48,5,-18.32,,-0.74,,-0.35,,-0.22,,-0.34,,0.05,,-0.62
NGC0045,0,14,3.9,-,23,10,56,8,-18.53,,-0.26,,0.27,,-0.14,,-0.17,,0.36,,-0.23
NGC0055,0,15,8.5,-,39,13,13,8,-18.41,,-0.35,,0.30,,-0.07,,-0.21,,0.44,,-0.21
NGC0059,0,15,25.1,-,21,26,38,-3,-15.74,,-1.91,,-0.50,,-0.56,,-2.20,,-0.79,,-0.27
ESO410-005,0,15,31.4,-,32,10,48,10,-11.58,<,-6.26,<,-3.01,>,2.30,,-3.97,,-0.72,,0.01
And XIX,0,19,32.1,+,35,2,37,-3,-8.32,,0.00,,0.00,,0.00,<,-6.27,<,-2.41,,0.00
IC0010,0,20,24.5,+,59,17,30,10,-15.99,,-1.54,,0.12,,-0.33,,0.00,,0.00,,0.00
And XXVI,0,23,45.6,+,47,54,58,-3,-6.47,,0.00,,0.00,,0.00,<,-6.30,<,-1.70,,0.00
Sc22,0,23,51.7,-,24,42,18,-3,-10.46,<,-5.58,<,-2.58,>,0.69,,-5.02,,-2.02,,0.13
Cetus,0,26,11.0,-,11,2,40,-1,-10.18,<,-5.51,<,-2.40,>,-0.18,<,-6.54,<,-3.43,>,0.85
ESO294-010,0,26,33.3,-,41,51,20,10,-10.91,,-4.32,,-0.43,,-0.07,,-3.86,,0.03,,-0.53
UGC00288,0,29,4.0,+,43,25,54,10,-13.83,,-2.62,,-0.27,,0.43,,-2.34,,0.01,,0.15
And XXV,0,30,8.9,+,46,51,7,-3,-9.07,,0.00,,0.00,,0.00,<,-6.28,<,-2.72,,0.00
ESO473-024,0,31,22.5,-,22,45,57,10,-13.68,,-2.10,,0.31,,0.41,,-1.94,,0.47,,0.25
NGC0147,0,33,11.6,+,48,30,28,-3,-14.78,,-6.33,,-4.41,,0.20,<,-6.09,<,-4.17,>,-0.04
And III,0,35,33.8,+,36,29,52,-3,-9.27,,-6.21,,-2.73,,1.89,<,-6.59,<,-3.11,>,2.27
And XVII,0,37,7.0,+,44,19,20,-2,-6.98,,0.00,,0.00,,0.00,,-5.71,,-1.32,,1.38
And XXVII,0,37,27.1,+,45,23,13,-3,-7.33,,0.00,,0.00,,0.00,<,-6.32,<,-2.07,,0.00
NGC0185,0,38,58.0,+,48,20,10,-3,-14.74,,-4.80,,-2.95,,-0.05,,0.00,,0.00,,0.00
NGC0205,0,40,22.5,+,41,41,11,-2,-16.13,<,-7.73,<,-6.51,>,3.46,,-3.18,,-1.96,,-1.09
And IV,0,42,30.1,+,40,34,33,10,-12.13,,-3.23,,-0.20,,1.68,,-2.53,,0.50,,0.98
MESSIER032,0,42,42.1,+,40,51,59,-2,-14.80,,-6.34,,-4.86,,2.47,,-4.16,,-2.68,,0.29
MESSIER031,0,42,44.5,+,41,16,9,3,-21.40,,-0.27,,-0.87,,0.13,,-0.01,,-0.61,,-0.13
DDO226,0,43,3.8,-,22,15,1,10,-13.63,,-2.90,,-0.47,,0.56,,-2.46,,-0.03,,0.12
And I,0,45,40.0,+,38,2,14,-3,-10.65,,-6.54,,-3.61,,2.20,,-6.16,,-3.23,,1.82
And XI,0,46,20.0,+,33,48,5,-3,-6.18,,0.00,,0.00,,0.00,,-5.71,,-1.00,,1.37
NGC0247,0,47,8.3,-,20,45,36,7,-18.52,,-0.56,,0.09,,-0.15,,-0.27,,0.38,,-0.44
And XII,0,47,27.0,+,34,22,29,-3,-6.39,,0.00,,0.00,,0.00,<,-6.20,<,-1.57,>,1.97
NGC0253,0,47,34.3,-,25,17,32,5,-21.29,,0.32,,-0.58,,-1.04,,0.40,,-0.50,,-1.12
KDG002,0,49,21.1,-,18,4,28,10,-11.39,<,-5.76,<,-2.43,>,1.84,,-3.87,,-0.54,,-0.05
DDO006,0,49,49.3,-,21,0,58,10,-12.39,,-4.16,,-1.08,,1.33,,-2.88,,0.20,,0.05
ESO540-032,0,50,24.6,-,19,54,25,10,-11.32,,-5.03,,-1.67,,1.14,,-3.96,,-0.60,,0.07
Bol520,0,50,42.4,+,32,54,59,-3,-8.09,,0.00,,0.00,,0.00,,-6.09,,-1.55,,0.00
And XIV,0,51,35.0,+,29,41,49,-3,-7.69,,0.00,,0.00,,0.00,<,-6.49,<,-2.38,>,2.15
And XIII,0,51,51.0,+,33,0,16,-3,-6.77,,0.00,,0.00,,0.00,<,-6.30,<,-1.82,>,2.08
